"ADOB_ID";"ADOB_LIIK";"ADS_OID";"TUNNUS";"ETAK_ID";"HOONE_OID";"AADRESS";"VIITEPUNKT_X";"VIITEPUNKT_Y";"OLEK";"KEHTIV_ALATES";"KEHTIV_KUNI"
9472624;"AY";"AY00007285";"7285";;;"Jõgeva maakond, Mustvee vald, Kääpa küla";663794,43;6508957,32;"K";7.12.2017;
9472625;"AY";"AY00009116";"9116";;;"Jõgeva maakond, Mustvee vald, Vassevere küla";660105,9;6512389,71;"K";7.12.2017;
9522889;"AY";"AY00001016";"1016";;;"Tartu maakond, Kambja vald, Aakaru küla";655857,88;6460825,05;"K";12.3.2018;
9466956;"AY";"AY00009181";"9181";;;"Jõgeva maakond, Mustvee vald, Veia küla";662793,46;6515915,19;"K";29.11.2017;
9490434;"AY";"AY00006067";"6067";;;"Jõgeva maakond, Mustvee vald, Pedassaare küla";666182,64;6504714,94;"K";19.1.2018;
9490435;"AY";"AY00009644";"9644";;;"Tartu maakond, Peipsiääre vald, Välgi küla";667697,14;6498837,86;"K";19.1.2018;
9426298;"AY";"AY00008730";"8730";;;"Pärnu maakond, Tori vald, Urumarja küla";543349,86;6476953,57;"K";13.11.2017;
9426299;"AY";"AY00008885";"8885";;;"Pärnu maakond, Tori vald, Vainu küla";537306,54;6475150,92;"K";13.11.2017;
9426300;"AY";"AY00009555";"9555";;;"Pärnu maakond, Tori vald, Võlla küla";540181,57;6484808,78;"K";13.11.2017;
9426264;"AY";"AY00003046";"3046";;;"Pärnu maakond, Tori vald, Kiisa küla";536326,68;6474214,75;"K";13.11.2017;
9426266;"AY";"AY00003084";"3084";;;"Pärnu maakond, Tori vald, Kilksama küla";533857,41;6477440,34;"K";13.11.2017;
9426267;"AY";"AY00003526";"3526";;;"Pärnu maakond, Tori vald, Kuiaru küla";543521,09;6482908,37;"K";13.11.2017;
9426268;"AY";"AY02255422";"3648";;;"Pärnu maakond, Tori vald, Kurena küla";531682,86;6485002,42;"K";13.11.2017;
9426269;"AY";"AY00003812";"3812";;;"Pärnu maakond, Tori vald, Kõrsa küla";541128,09;6474767,27;"K";13.11.2017;
9522892;"AY";"AY00009404";"9404";;;"Tartu maakond, Kambja vald, Virulase küla";655073,13;6459693,79;"K";12.3.2018;
9426270;"AY";"AY00004296";"4296";;;"Pärnu maakond, Tori vald, Lepplaane küla";537114,79;6483694,81;"K";13.11.2017;
9426271;"AY";"AY00004314";"4314";;;"Pärnu maakond, Tori vald, Levi küla";549601,19;6484178,38;"K";13.11.2017;
9426273;"AY";"AY00005036";"5036";;;"Pärnu maakond, Tori vald, Muraka küla";550155,65;6486569,78;"K";13.11.2017;
9520642;"AY";"AY00001149";"1149";;;"Viljandi maakond, Mulgi vald, Ainja küla";598309,76;6436499,66;"K";7.3.2018;
9520644;"AY";"AY00002757";"2757";;;"Valga maakond, Tõrva vald, Karjatnurme küla";605123,13;6432745,28;"K";7.3.2018;
9426275;"AY";"AY00005101";"5101";;;"Pärnu maakond, Tori vald, Muti küla";548644,32;6489077,96;"K";13.11.2017;
9426257;"AY";"AY02255421";"1344";;;"Pärnu maakond, Tori vald, Are alevik";533074,65;6487003,36;"K";13.11.2017;
9426297;"AY";"AY00008720";"8720";;;"Pärnu maakond, Tori vald, Urge küla";537359,77;6477378,34;"K";13.11.2017;
9426301;"AY";"AY00009560";"9560";;;"Pärnu maakond, Tori vald, Võlli küla";552090,49;6478019,98;"K";13.11.2017;
9426259;"AY";"AY00001516";"1516";;;"Pärnu maakond, Tori vald, Eavere küla";533389,39;6492015,01;"K";13.11.2017;
9524842;"AY";"AY00003748";"3748";;;"Tartu maakond, Kastre vald, Kõivuküla";666911,67;6464028,54;"K";15.3.2018;
9524843;"AY";"AY00004099";"4099";;;"Tartu maakond, Kastre vald, Lange küla";662383,45;6465062,36;"K";15.3.2018;
9524844;"AY";"AY00006932";"6932";;;"Tartu maakond, Kambja vald, Reola küla";659001,76;6464914,32;"K";15.3.2018;
9426279;"AY";"AY00005698";"5698";;;"Pärnu maakond, Tori vald, Oore küla";544437,33;6480782,45;"K";13.11.2017;
9426280;"AY";"AY00006012";"6012";;;"Pärnu maakond, Tori vald, Parisselja küla";530940,4;6488729,72;"K";13.11.2017;
9426282;"AY";"AY00006425";"6425";;;"Pärnu maakond, Tori vald, Pulli küla";539742,13;6476379,72;"K";13.11.2017;
9426283;"AY";"AY00006608";"6608";;;"Pärnu maakond, Tori vald, Pärivere küla";535211,06;6485468,07;"K";13.11.2017;
